id,name,,parent_id,icon,created_at,updated_at
139,Oracle Analytics,oracle-analytics,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
140,Organizational Behavior,organizational-behavior,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
141,Pmp,pmp,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
142,Portfolio Management,portfolio-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
143,Problem Solving,problem-solving,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
144,Procurement,procurement,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
145,Product Management,product-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
146,Project Management,project-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
147,Project Management Office,project-management-office,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
148,Public Economics,public-economics,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
149,Retail,retail,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
150,Risk Management,risk-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
151,Sales,sales,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
152,Scrum,scrum,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
153,Servicenow,servicenow,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
154,Social Entrepreneurship,social-entrepreneurship,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
155,Sports Business,sports-business,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
156,Starting Business,starting-business,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
157,Strategic Management,strategic-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
158,Strategic Thinking,strategic-thinking,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
159,Strategy,strategy,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
160,Success,success,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
161,Supply Chain Management,supply-chain-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
